ID_person,Square,Rooms,Price,Rooms_indicator
17266,53,2.0,20140,0
13084,57,2.0,15846,0
11257,111,5.0,37407,0
14349,38,1.0,15162,0
18661,32,1.0,6784,0
16656,45,2.0,9810,0
1237,52,3.0,18876,0
4942,74,3.0,21460,0
11016,75,4.0,23325,0
5181,115,6.0,39675,0
13644,69,4.0,27117,0
344,113,6.0,36273,0
7462,53,2.0,18338,0
8475,93,5.0,34131,0
14632,90,5.0,25560,0
658,120,5.0,25560,0
14676,120,5.0,24840,0
18987,68,3.0,21692,0
9201,82,3.0,20418,0
1046,31,3.690378548895899,6510,1
9808,116,5.0,35148,0
15580,39,2.0,9438,0
10813,101,4.0,30401,0
11451,61,3.0,21228,0
7481,115,6.0,27140,0
14196,101,5.0,23331,0
6850,63,3.0,25011,0
10564,46,2.0,14628,0
17783,57,3.0,19608,0
8502,97,4.0,37151,0
17297,64,4.0,22080,0
12395,37,1.0,8103,0
13438,126,7.0,41958,0
3260,32,1.0,8128,0
4888,47,3.0,9635,0
13146,108,6.0,26244,0
13270,33,2.0,12441,0
1246,121,7.0,38599,0
7502,37,3.690378548895899,12210,1
1141,101,3.690378548895899,26462,1
15143,127,5.0,36322,0
17311,101,4.0,27472,0
15534,65,2.0,17940,0
12545,42,2.0,13692,0
17241,46,2.0,15180,0
7272,126,5.0,30870,0
13934,66,3.0,18810,0
4150,93,5.0,33759,0
5290,31,2.0,11036,0
8272,47,2.0,15416,0
7901,103,4.0,27398,0
917,101,5.0,24038,0
10882,72,4.0,24120,0
11668,31,1.0,11439,0
13745,56,3.0,20384,0
16290,55,3.0,17435,0
5747,106,3.690378548895899,30422,1
11591,32,1.0,8096,0
17558,35,2.0,8330,0
6757,71,4.0,21726,0
6699,37,1.0,7659,0
13374,51,2.0,14841,0
7283,99,4.0,36531,0
10024,128,6.0,26112,0
1870,72,4.0,26568,0
12897,58,3.0,13862,0
6802,48,2.0,17616,0
11884,53,2.0,12614,0
13247,46,2.0,14950,0
19948,64,2.0,13504,0
2257,129,5.0,47601,0
14386,98,5.0,27930,0
15170,38,3.690378548895899,11970,1
14257,76,4.0,15276,0
2225,105,7.0,41265,0
10446,36,2.0,12960,0
10878,45,3.690378548895899,17550,1
3320,110,5.0,42240,0
6043,119,5.0,27251,0
666,89,4.0,31595,0
13582,113,6.0,23730,0
6075,44,2.0,15092,0
14052,111,6.0,24198,0
18102,48,3.690378548895899,18576,1
18064,89,3.690378548895899,17889,1
4298,103,5.0,40067,0
10186,118,5.0,41536,0
12208,126,3.690378548895899,28224,1
19922,68,4.0,15300,0
1086,49,2.0,11319,0
18190,94,3.690378548895899,22560,1
13046,46,2.0,17894,0
15367,110,5.0,34980,0
6079,88,4.0,32120,0
13448,30,1.0,6870,0
3512,109,6.0,23108,0
9548,83,4.0,25896,0
2686,109,5.0,31174,0
9432,48,2.0,16944,0
13947,116,3.690378548895899,36424,1
8644,68,4.0,26452,0
4771,65,4.0,15210,0
15058,34,2.0,7446,0
3880,64,4.0,16064,0
10564,99,5.0,34254,0
16328,33,1.0,12309,0
6588,104,3.690378548895899,39000,1
12773,32,1.0,10016,0
19505,72,3.0,15912,0
19041,41,1.0,11316,0
18568,118,5.0,43542,0
9731,93,5.0,20832,0
13541,47,1.0,18283,0
3666,117,5.0,25506,0
1802,72,3.0,17928,0
9484,110,6.0,38940,0
17819,41,2.0,15170,0
7623,104,6.0,38480,0
9789,44,1.0,17336,0
12623,52,2.0,13364,0
7147,110,4.0,38830,0
13257,105,4.0,39270,0
19411,104,5.0,21424,0
15104,88,5.0,31768,0
2721,109,3.690378548895899,24852,1
8685,71,3.0,18673,0
4583,67,3.0,17286,0
8583,121,6.0,34848,0
1926,73,3.690378548895899,14892,1
3853,127,6.0,44577,0
2062,43,2.0,12427,0
15825,68,4.0,23256,0
19600,58,2.0,14848,0
1728,33,1.0,10032,0
6534,67,3.0,24522,0
16770,51,2.0,17697,0
8578,94,3.0,25568,0
861,127,3.690378548895899,30353,1
337,114,4.0,36138,0
7267,110,6.0,37510,0
3070,116,6.0,31088,0
8333,73,4.0,14892,0
14733,37,1.0,11507,0
17089,55,2.0,19030,0
12693,46,3.690378548895899,18170,1
1342,54,3.0,18846,0
52,76,5.0,16492,0
12648,49,3.0,12691,0
5654,111,4.0,26751,0
11781,91,5.0,26117,0
2216,80,3.0,30000,0
3038,87,5.0,18966,0
15785,86,4.0,19866,0
15368,92,5.0,24932,0
4963,73,3.0,28981,0
5983,128,5.0,48256,0
