ID_person,Model,Power,Price,Power_indicator
6823,LADA,112.0,373960,0
2586,Toyota,282.1206629834254,3853381,1
17397,Toyota,485.0,2728373,0
6843,Daewoo,96.0,923377,0
17264,Subaru,282.1206629834254,3176388,1
18666,Subaru,232.0,3156028,0
9369,KIA,467.0,2357142,0
10603,KIA,215.0,3923369,0
4324,Mercedez-Benz,267.0,3914849,0
7380,KIA,348.0,2995054,0
6645,Daewoo,428.0,636575,0
2538,Nissan,282.1206629834254,3492385,1
18173,KIA,282.1206629834254,3576619,1
11707,Mercedez-Benz,251.0,3593542,0
19013,Subaru,446.0,2890876,0
18736,Toyota,430.0,2193626,0
2957,Ford,308.0,2167110,0
14042,Subaru,280.0,656360,0
11178,Subaru,303.0,1739920,0
8942,Infiniti,280.0,434263,0
17987,Ford,314.0,2514113,0
906,Toyota,460.0,555917,0
2672,KIA,282.1206629834254,1986822,1
19852,BMW,163.0,918165,0
3083,Ford,272.0,2310968,0
17751,Subaru,425.0,2636671,0
15802,Audi,106.0,3263098,0
4402,Toyota,299.0,1368324,0
7375,BMW,94.0,2211358,0
8859,LADA,230.0,3618399,0
4512,KIA,435.0,1446196,0
18176,LADA,405.0,3236720,0
12372,Infiniti,367.0,3674590,0
8621,Nissan,274.0,697831,0
9753,Subaru,240.0,220548,0
15601,Subaru,364.0,582093,0
6552,Infiniti,211.0,3735619,0
3442,Subaru,134.0,3390517,0
16380,KIA,188.0,3986991,0
16889,Audi,250.0,2521319,0
13702,Nissan,421.0,665465,0
3139,Mercedez-Benz,335.0,1127436,0
7,Subaru,163.0,3938379,0
7019,Infiniti,490.0,3140925,0
18299,Mercedez-Benz,390.0,1698711,0
18147,BMW,335.0,363191,0
14625,Ford,416.0,1080071,0
19297,Mercedez-Benz,70.0,568396,0
7592,Subaru,245.0,2220686,0
8593,Mercedez-Benz,364.0,1792131,0
4190,Daewoo,338.0,616264,0
7450,KIA,204.0,294203,0
19560,Audi,85.0,200844,0
16001,BMW,225.0,808188,0
10177,BMW,496.0,3258697,0
7891,Mercedez-Benz,409.0,1843942,0
5798,Infiniti,248.0,2616553,0
8633,Infiniti,433.0,2764270,0
19105,Mercedez-Benz,179.0,1861125,0
432,KIA,364.0,1508673,0
1433,Audi,485.0,3173566,0
12404,Daewoo,157.0,1887368,0
10451,Audi,390.0,1318974,0
4964,Toyota,101.0,2017116,0
7352,Ford,449.0,952151,0
2499,Infiniti,482.0,2575148,0
14834,Mercedez-Benz,205.0,623093,0
7128,Nissan,191.0,1971451,0
4011,BMW,282.1206629834254,736750,1
4812,BMW,299.0,797908,0
8851,Toyota,282.1206629834254,755662,1
5345,Toyota,282.1206629834254,2709100,1
977,Mercedez-Benz,146.0,3579339,0
17338,Toyota,225.0,703122,0
7875,Ford,268.0,1982433,0
11640,Mercedez-Benz,282.1206629834254,1165725,1
19383,Subaru,334.0,540538,0
1586,Toyota,410.0,946140,0
9833,Ford,456.0,385382,0
9715,KIA,108.0,2463769,0
6962,Infiniti,213.0,2448971,0
10910,Mercedez-Benz,304.0,1213821,0
11818,Audi,176.0,1966992,0
8412,LADA,210.0,669078,0
17236,Daewoo,250.0,2557478,0
12046,KIA,347.0,1507259,0
9824,Ford,357.0,1005539,0
4003,KIA,486.0,215165,0
453,Subaru,233.0,2093609,0
18756,KIA,320.0,3407302,0
14503,Ford,434.0,3278654,0
6652,LADA,350.0,1782955,0
13538,Subaru,77.0,3817309,0
8969,Subaru,282.1206629834254,3498319,1
3253,BMW,282.1206629834254,2399358,1
15003,Toyota,195.0,1833861,0
14974,Subaru,305.0,3481414,0
19154,Subaru,278.0,2674954,0
10513,Ford,213.0,1479950,0
2289,Infiniti,314.0,1922032,0
7439,Subaru,388.0,3386265,0
831,Audi,454.0,1403668,0
15447,Mercedez-Benz,188.0,3360706,0
5927,Mercedez-Benz,106.0,2303689,0
8739,Toyota,325.0,1827399,0
19797,Mercedez-Benz,481.0,2159975,0
10437,Ford,216.0,1502165,0
8594,Infiniti,166.0,1265353,0
8634,LADA,350.0,3564025,0
16286,Daewoo,371.0,1616074,0
11483,Audi,184.0,2106959,0
14919,KIA,79.0,1563124,0
17152,LADA,282.1206629834254,3911590,1
10606,Daewoo,102.0,2723978,0
1615,Audi,239.0,1838486,0
16256,Nissan,89.0,3650154,0
1544,Mercedez-Benz,479.0,1049509,0
19749,Toyota,256.0,1482674,0
2959,Subaru,164.0,1048237,0
13630,Toyota,159.0,2105137,0
9437,Subaru,327.0,1438364,0
9384,Mercedez-Benz,326.0,862856,0
1643,BMW,297.0,2375636,0
1481,Ford,375.0,1864297,0
13296,Subaru,96.0,1872789,0
13825,Ford,448.0,1041213,0
54,Subaru,442.0,3818296,0
4429,Mercedez-Benz,337.0,2221659,0
2110,LADA,392.0,1596520,0
14662,Subaru,460.0,1029810,0
16499,Toyota,394.0,3353981,0
253,Nissan,88.0,1576453,0
122,Daewoo,282.1206629834254,3865529,1
12385,LADA,282.1206629834254,1329353,1
4992,Daewoo,204.0,2827273,0
8188,BMW,282.1206629834254,3470343,1
6032,Daewoo,152.0,2501311,0
5450,Audi,89.0,1976187,0
15568,Toyota,282.1206629834254,527378,1
7677,Ford,196.0,1777269,0
16305,Ford,445.0,1953676,0
6584,KIA,224.0,1445390,0
9499,Infiniti,296.0,450384,0
1404,Daewoo,492.0,311989,0
4419,Daewoo,282.1206629834254,546712,1
14499,BMW,377.0,2945542,0
18303,Nissan,418.0,2892737,0
14095,Toyota,279.0,829531,0
9532,Daewoo,383.0,2373516,0
6486,Subaru,427.0,2884826,0
3789,Nissan,256.0,3035329,0
11525,KIA,132.0,3142387,0
10487,BMW,313.0,644312,0
11423,BMW,232.0,3100286,0
5109,Ford,351.0,3237542,0
9335,BMW,398.0,846848,0
362,Toyota,179.0,2751091,0
8136,LADA,422.0,1102742,0
203,Mercedez-Benz,113.0,3538290,0
15845,BMW,242.0,2966764,0
16463,KIA,319.0,663549,0
18242,Ford,217.0,2281675,0
390,BMW,240.0,1974817,0
2887,BMW,440.0,1690552,0
2958,Daewoo,282.1206629834254,1979629,1
10892,Daewoo,346.0,2168234,0
19596,Nissan,90.0,3951606,0
13326,Infiniti,316.0,2697050,0
15360,LADA,401.0,2560424,0
4514,KIA,456.0,386407,0
4151,Mercedez-Benz,413.0,3634631,0
19131,Toyota,195.0,2722600,0
984,Nissan,384.0,1359668,0
19894,KIA,257.0,2721347,0
18293,Infiniti,174.0,2573327,0
6879,Subaru,100.0,1031059,0
9508,Ford,234.0,1455678,0
4375,Subaru,344.0,3287949,0
16750,Mercedez-Benz,318.0,2000217,0
19116,BMW,92.0,1777770,0
4047,Audi,403.0,3748792,0
943,Nissan,282.1206629834254,1467151,1
10709,Nissan,378.0,382630,0
1508,Toyota,476.0,3844292,0
15869,Daewoo,348.0,3061365,0
1226,Toyota,452.0,2660585,0
12030,Subaru,226.0,1715108,0
8683,LADA,165.0,1705584,0
8540,LADA,95.0,660781,0
11823,KIA,434.0,972254,0
8907,Nissan,381.0,2032141,0
7075,LADA,432.0,2170979,0
7652,Daewoo,111.0,1740075,0
19532,Subaru,262.0,903743,0
16693,LADA,407.0,1821994,0
7146,Subaru,282.1206629834254,750928,1
2832,Nissan,493.0,2962865,0
7563,Infiniti,483.0,3015169,0
13178,Mercedez-Benz,384.0,3158006,0
14298,Infiniti,282.1206629834254,3131668,1
5877,KIA,221.0,3706253,0
4855,Toyota,139.0,862584,0
7201,Nissan,351.0,1508294,0
5750,KIA,149.0,3243885,0
12389,Ford,256.0,1778589,0
19277,Nissan,266.0,1086021,0
2242,Subaru,179.0,1008672,0
15226,Subaru,327.0,1524435,0
13012,Toyota,264.0,3644009,0
4610,Daewoo,272.0,3896860,0
3957,Daewoo,300.0,670256,0
2447,Nissan,469.0,2441736,0
3694,Ford,284.0,2211121,0
12133,Infiniti,396.0,1632218,0
4560,Nissan,126.0,967075,0
1235,KIA,264.0,981021,0
8808,BMW,172.0,2469708,0
18610,Toyota,251.0,625311,0
12190,Daewoo,344.0,2693274,0
1860,Toyota,170.0,1526306,0
16827,Mercedez-Benz,390.0,1558926,0
9466,KIA,318.0,2867890,0
16351,Daewoo,341.0,587921,0
3080,Mercedez-Benz,341.0,3956876,0
4623,Daewoo,399.0,2853966,0
10691,KIA,72.0,724759,0
10252,Ford,80.0,2681417,0
7946,Daewoo,339.0,2398042,0
7499,Toyota,339.0,2249683,0
10026,Mercedez-Benz,282.1206629834254,3109031,1
11116,BMW,97.0,3192329,0
13876,Daewoo,226.0,2299058,0
9231,Daewoo,384.0,2533225,0
3569,BMW,97.0,3000484,0
6940,Subaru,314.0,493415,0
14830,BMW,326.0,2151508,0
2928,Toyota,311.0,2111595,0
1516,KIA,362.0,775290,0
12389,Nissan,281.0,1041726,0
15467,LADA,240.0,1673027,0
11467,Audi,148.0,853937,0
11739,Toyota,470.0,1338041,0
10835,KIA,287.0,1817882,0
490,KIA,285.0,3515502,0
3808,LADA,111.0,371275,0
1152,KIA,327.0,3487130,0
4967,Nissan,282.1206629834254,2271087,1
18149,BMW,309.0,3885326,0
11137,Infiniti,394.0,1153597,0
8286,Nissan,165.0,3454229,0
15821,Daewoo,88.0,640010,0
1756,KIA,327.0,2738807,0
14172,Audi,162.0,2533337,0
17766,Nissan,456.0,3268457,0
11031,Audi,286.0,1572999,0
9495,BMW,343.0,1662808,0
4636,Audi,486.0,693415,0
9843,Nissan,282.1206629834254,3911444,1
11624,Subaru,190.0,2778537,0
6503,Mercedez-Benz,141.0,2671729,0
11424,Infiniti,283.0,3083311,0
7971,Infiniti,210.0,3864031,0
9804,Toyota,401.0,3378636,0
12472,KIA,282.1206629834254,1800582,1
7656,BMW,78.0,342366,0
1094,Mercedez-Benz,106.0,425116,0
10002,KIA,211.0,1730106,0
8184,Nissan,282.1206629834254,3950566,1
2689,Daewoo,202.0,440692,0
15740,Audi,481.0,923656,0
2873,Ford,206.0,3084139,0
8777,Ford,385.0,2487307,0
260,Infiniti,229.0,3824106,0
19551,Mercedez-Benz,350.0,1232072,0
6238,Audi,198.0,1357560,0
13500,Infiniti,255.0,3989848,0
9697,Daewoo,282.1206629834254,2999289,1
10261,Daewoo,497.0,1172553,0
5659,Mercedez-Benz,421.0,1373544,0
16699,Daewoo,213.0,2325534,0
6048,Subaru,205.0,3886748,0
1858,Subaru,278.0,3553514,0
13096,Mercedez-Benz,274.0,3064691,0
6356,Infiniti,96.0,1726238,0
3267,BMW,453.0,1009742,0
7473,LADA,186.0,1181348,0
13700,Toyota,296.0,3630712,0
2796,Ford,487.0,1356768,0
17755,Infiniti,370.0,1460211,0
1273,Infiniti,316.0,2325614,0
10299,Daewoo,149.0,232228,0
18043,KIA,288.0,1709214,0
15524,KIA,141.0,3399407,0
18757,Mercedez-Benz,411.0,1395498,0
5116,Toyota,394.0,504201,0
13500,BMW,118.0,2661364,0
14145,Mercedez-Benz,282.1206629834254,3396271,1
19668,Ford,163.0,1519397,0
11440,Subaru,124.0,2631784,0
7121,Toyota,80.0,1033397,0
3631,Infiniti,459.0,2558698,0
17716,Infiniti,356.0,3121077,0
12266,Daewoo,372.0,3477809,0
5997,Subaru,492.0,1339123,0
6175,Mercedez-Benz,294.0,710328,0
2292,Daewoo,329.0,770901,0
19268,Infiniti,492.0,2011388,0
5134,Ford,462.0,535068,0
14652,Mercedez-Benz,451.0,738916,0
5958,Nissan,382.0,630353,0
19327,Audi,155.0,3593728,0
1837,Infiniti,403.0,1503669,0
5693,Infiniti,279.0,396864,0
7419,Toyota,87.0,2249920,0
267,KIA,120.0,3921484,0
1634,Ford,466.0,1348292,0
17443,Mercedez-Benz,284.0,3073191,0
4821,Toyota,282.1206629834254,310404,1
1657,Audi,269.0,2960492,0
1183,Subaru,354.0,1374981,0
12728,Infiniti,181.0,928539,0
14588,LADA,197.0,239256,0
10956,Ford,123.0,2117647,0
15903,LADA,349.0,414105,0
198,Nissan,144.0,3632025,0
15158,Audi,194.0,2452014,0
14012,BMW,96.0,3780908,0
4839,BMW,435.0,3265969,0
239,Ford,367.0,1477336,0
3367,Ford,360.0,3536235,0
7982,Ford,489.0,3595824,0
3148,Toyota,171.0,324191,0
13873,Toyota,221.0,2619404,0
14156,Subaru,131.0,3184277,0
18219,LADA,482.0,3892716,0
2219,Infiniti,227.0,3509709,0
2892,Infiniti,250.0,3311000,0
5360,Ford,340.0,2651254,0
7195,Audi,212.0,611183,0
14860,Infiniti,328.0,695219,0
7083,BMW,128.0,2551849,0
2635,BMW,363.0,2815103,0
12723,BMW,250.0,1721366,0
1895,Toyota,329.0,2649095,0
16917,Infiniti,125.0,2448315,0
12178,Audi,113.0,2386240,0
5416,Audi,93.0,1398938,0
4537,Subaru,109.0,3608730,0
5304,LADA,384.0,1958624,0
6667,BMW,282.1206629834254,580835,1
16973,BMW,197.0,2221525,0
9185,KIA,448.0,435015,0
5637,Mercedez-Benz,366.0,3901204,0
4553,Nissan,361.0,307432,0
16966,Ford,394.0,479667,0
13759,Subaru,285.0,3384167,0
6871,Nissan,378.0,2881850,0
13726,Mercedez-Benz,243.0,2638114,0
5421,Audi,271.0,1464661,0
3985,Nissan,92.0,2188921,0
5891,Toyota,282.1206629834254,2118235,1
8798,Daewoo,461.0,377733,0
2345,LADA,411.0,2714781,0
11372,Ford,458.0,1202259,0
16593,Toyota,460.0,2426444,0
2727,Subaru,434.0,1981321,0
4212,Infiniti,282.1206629834254,3643566,1
17671,Audi,196.0,245696,0
475,LADA,117.0,2113286,0
3630,Mercedez-Benz,221.0,3561670,0
13156,Audi,282.1206629834254,3944610,1
4470,Subaru,107.0,2365450,0
4677,Infiniti,386.0,387902,0
12341,BMW,411.0,2963015,0
8165,Mercedez-Benz,401.0,2575870,0
9209,Infiniti,463.0,3270412,0
5247,BMW,123.0,3671922,0
17617,Infiniti,252.0,3703475,0
18069,Nissan,359.0,2286642,0
18379,Daewoo,210.0,3978758,0
19243,Nissan,353.0,3861266,0
904,Ford,222.0,2350849,0
16862,BMW,398.0,832348,0
17145,Nissan,484.0,821554,0
3183,LADA,389.0,393466,0
15211,BMW,282.1206629834254,3784969,1
13254,LADA,192.0,3521880,0
15132,LADA,167.0,3509859,0
7448,Subaru,300.0,2935305,0
9634,Infiniti,282.1206629834254,1042319,1
16627,Daewoo,354.0,1371679,0
18188,Mercedez-Benz,282.1206629834254,1690074,1
9198,Audi,343.0,1394212,0
3018,Toyota,465.0,363470,0
9916,Toyota,189.0,3104893,0
7787,BMW,341.0,744032,0
3420,Infiniti,173.0,2893061,0
3699,KIA,334.0,2737188,0
19880,Mercedez-Benz,312.0,3353515,0
14232,Daewoo,214.0,2197815,0
7496,Nissan,332.0,901993,0
9444,Audi,374.0,733022,0
17237,BMW,286.0,2176272,0
16079,Subaru,494.0,1890065,0
14021,Toyota,346.0,2828869,0
8551,Toyota,203.0,3160516,0
19746,Toyota,178.0,1224785,0
16993,Nissan,333.0,2453777,0
13458,Audi,424.0,1414668,0
9884,Infiniti,161.0,495982,0
446,LADA,330.0,2094286,0
4589,Infiniti,395.0,1251433,0
618,LADA,282.1206629834254,3218700,1
2890,BMW,295.0,3651467,0
14145,KIA,471.0,1363775,0
19617,BMW,98.0,3819966,0
87,Mercedez-Benz,187.0,1563550,0
5036,Subaru,459.0,2545754,0
6885,Mercedez-Benz,117.0,836979,0
10359,Daewoo,349.0,888736,0
4642,BMW,123.0,3624807,0
8902,Ford,358.0,575128,0
8277,Ford,221.0,2169330,0
5704,Mercedez-Benz,115.0,3106002,0
13077,BMW,282.1206629834254,2044804,1
5738,Subaru,472.0,1604715,0
15514,Audi,227.0,3273814,0
